Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
4287/004,1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,10640,N/A,,http://propertymap.sfplanning.org/?&search=4287/004,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1850 CESAR CHAVEZ ST,,San Francisco,,,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0690/001A,1233 VAN NESS AVE,1233 VAN NESS AVE,94109,18710,Medical Office,,http://propertymap.sfplanning.org/?&search=0690/001A,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/14,Pending,1233 VAN NESS AVE,,San Francisco,POINT (-122.421761 37.787165),,,CA,94109,,,,,,,,,,,,,,,,,54.1,117,-5,-5,69.1,3.7,54.2,117,,53.2,115.9,-5.9,-5.9,68.1,3.6,53.3,114.9
3756/002,312 8th Street,330 8TH ST,94103,44000,Automobile Dealership,,http://propertymap.sfplanning.org/?&search=3756/002,N/A,Violation - Insufficient Data,Complied,Complied,Complied,4/1/14,Complied,330 8TH ST,,San Francisco,POINT (-122.409666 37.77465),,,CA,94103,,,,,,,,9.4,26.1,-78.9,-78.8,16.9,0.8,9.3,25.9,,9.2,24.3,-80.3,-80.3,16.1,0.7,8.8,23.9,,8.6,24.1,-80.5,-80.5,14.5,0.7,8.4,23.5
3706/074,Westin San Francisco Market Street,50 3RD ST,94103,525313,N/A,,http://propertymap.sfplanning.org/?&search=3706/074,Complied,Complied,Complied,Complied,Violation - Did Not Report,4/1/14,Complied,50 3RD ST,88,San Francisco,POINT (-122.402736 37.786836),50.1,137.3,CA,94103,-36.3,-36.3,2138.4,4.1,50.5,137.7,87,50,137.6,-35.6,-35.6,2138.4,4.1,50.7,139.2,90,47.3,131.3,-38.6,-38.5,2033.5,3.9,47.5,131.5,,,,,,,,,
0239/030,343 Sansome,343 Sansome St,94104,316366,Office,,http://propertymap.sfplanning.org/?&search=0239/030,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,343 Sansome St,,San Francisco,POINT (-122.401264 37.793616),,,CA,94104,,,,,,,91,46.6,146.3,-45.6,-45.6,1033.6,3.8,46.6,146.3,90,47.5,149.1,-44.5,-44.5,1053.3,3.9,47.5,149.1,94,39.2,123,-51.9,-51.9,869.1,3.2,39.2,123
3704/035,444 Jessie Street,439 STEVENSON ST,94103,21190,Bar/Nightclub,,http://propertymap.sfplanning.org/?&search=3704/035,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,439 STEVENSON ST,,San Francisco,POINT (-122.408396 37.782796),,,CA,94103,,,,,,,,,,,,,,,,,24.3,73.6,-13.5,-13.5,44.3,2.1,24.6,75,,25.3,79.1,-7,-7,43.6,2.1,24.1,75.6
1070/003,2700 Geary Blvd,2700 GEARY BLVD,94118,17546,Office,,http://propertymap.sfplanning.org/?&search=1070/003,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,2700 GEARY BLVD,,San Francisco,POINT (-122.448349 37.782439),,,CA,94118,,,,,,,,,,,,,,,,,33.2,93.8,-36.7,-36.7,45,2.6,32.5,93,,14.8,38.1,-74.3,-74.3,19.1,1.1,15.7,39
0287/014,300 Grant,290 SUTTER ST,94108,32162,N/A,,http://propertymap.sfplanning.org/?&search=0287/014,N/A,Violation - Insufficient Data,Exempt,Exempt,Exempt,4/1/14,Upcoming,290 SUTTER ST,,San Francisco,POINT (-122.405204 37.789656),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/048,Pier 48 - Shed A,48 Pier - Shed A,94158,83852,Other,,http://propertymap.sfplanning.org/?&search=9900/048,N/A,Complied,Complied,Complied,Complied,4/1/99,Municipal,48 Pier,,San Francisco,,2.3,7.1,CA,94158,-94.1,-94.2,16.7,0.2,2.3,7.1,,3.9,12.1,-90.1,-90.2,28.5,0.3,3.9,12.1,,3.3,10.3,-91.6,-91.6,24.2,0.3,3.3,10.3,,4.2,13.2,-89.3,-89.3,28.7,0.3,4.2,13.2
0526/021,Davinci villa,2550 VAN NESS AVE,94109,56598,Hotel,,http://propertymap.sfplanning.org/?&search=0526/021,N/A,Complied,Complied,Complied,Complied,4/1/16,Upcoming,2550 VAN NESS AVE,95,San Francisco,POINT (-122.424053 37.799193),36,,CA,94109,-47.7,,146.57,,38.7,,84,30.5,95.6,-32.1,,151.5,,30.5,95.6,40,84.8,149.9,9.3,9.3,312.1,5.5,84.8,149.9,14,116.7,187.5,42.8,42.8,400.8,7.1,116.7,187.5
3575/035,2165 MISSION ST,2165 MISSION ST,94110,16560,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3575/035,N/A,N/A,Violation - Insufficient Data,Complied,Complied,4/1/14,Complied,2165 MISSION ST,,San Francisco,POINT (-122.419414 37.762347),,,CA,94110,,,,,,,,,,,,,,,,,47.2,148.3,20.4,20.4,63.8,3.8,48.3,151.6,,43.5,136.6,10.9,10.9,58.7,3.5,43.5,136.6
3530/039,157 13TH ST,157 13TH ST,94103,10871,N/A,,http://propertymap.sfplanning.org/?&search=3530/039,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,157 13TH ST,,San Francisco,POINT (-122.416878 37.769583),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0329/001,800 Market Street,800 MARKET ST,94102,53715,Office,,http://propertymap.sfplanning.org/?&search=0329/001,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,800 MARKET ST,,San Francisco,POINT (-122.40642 37.785312),87.8,,CA,94102,55.1,,303.73,,87.8,,78,70.5,171,-30.8,,287.19,,78.2,186.9,79,70.6,165.2,-32.5,-32.5,282.8,5.3,68.2,163.3,80,67.4,164.7,-33.6,-33.6,260.9,4.9,70.5,165.2
3778/005,575 6TH ST,575 6TH ST,94107,82731,N/A,,http://propertymap.sfplanning.org/?&search=3778/005,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,575 6TH ST,,San Francisco,POINT (-122.401482 37.775199),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3952/001C,1 ARKANSAS ST,1 ARKANSAS ST,94107,32116,N/A,,http://propertymap.sfplanning.org/?&search=3952/001C,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1 ARKANSAS ST,,San Francisco,POINT (-122.398787 37.765914),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/026,Pier 26,26 Pier The Embarcadero,94105,123133,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=9900/026,N/A,Complied,Complied,Complied,Complied,4/1/99,Municipal,26 Pier,99,San Francisco,,2.6,8.3,CA,94105,-81.9,-81.6,28.5,0.2,2.6,8.3,90,6.9,19.4,-57.1,-57,70.1,0.6,,,97,4.9,12.1,-72.9,-73.2,46.2,0.4,,,98,4.4,10.3,-77.1,-77.1,38.3,0.3,,
0340/016,163 EDDY ST,163 EDDY ST,94102,24780,N/A,,http://propertymap.sfplanning.org/?&search=0340/016,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,163 EDDY ST,,San Francisco,POINT (-122.410435 37.784215),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0628/013,Pacific Professional Building,2140 WEBSTER ST,94115,263062,Medical Office,,http://propertymap.sfplanning.org/?&search=0628/013,Complied,N/A,Complied,Complied,Complied,11/15/12,Complied,2140 WEBSTER ST,80,San Francisco,POINT (-122.432496 37.790454),67.7,,CA,94115,-35,,812.01,,66.6,,81,65.4,193.7,-35.9,,789.71,,64.9,193.1,72,64.3,180.8,-28.8,-28.8,707.3,5,63.7,181,73,61.3,175.6,-28.9,-28.9,680.3,4.8,64,178.4
0237/001,303 Sacramento Street,251 FRONT ST,94111,12000,Office,,http://propertymap.sfplanning.org/?&search=0237/001,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,251 FRONT ST,,San Francisco,POINT (-122.398939 37.794113),,,CA,94111,,,,,,,,,,,,,,,,1,179.8,380.8,134.4,134.3,152.9,12.7,179.4,378.3,1,173.7,374.3,136.8,136.8,142,11.8,176.1,371.5
2025/003B,"3869-SAN FRANCISCO, CA",1754 NORIEGA ST,94122,13862,Retail Store,,http://propertymap.sfplanning.org/?&search=2025/003B,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,1754 NORIEGA ST,,San Francisco,POINT (-122.482539 37.753979),,,CA,94122,,,,,,,,,,,,,,,,90,62.9,193.1,-51.2,-51.2,70.3,5.1,62.5,192.7,89,63.6,196.1,-49,-49,71.2,5.1,63,192.6
0670/022,1445 Bush St,1445 Bush St,94109,16400,Medical Office,,http://propertymap.sfplanning.org/?&search=0670/022,N/A,N/A,Exempt,Exempt,Complied,4/1/16,Upcoming,1445 Bush St,,San Francisco,POINT (-122.421018 37.788609),,,CA,94109,,,,,,,,,,,,,,,,,,,,,,,,,75,28.7,85.2,-30.3,-30.3,32.7,2.3,27.8,82.5
3722/068,Coast Counties - 657 Mission,657 MISSION ST,94105,97123,Office,,http://propertymap.sfplanning.org/?&search=3722/068,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,657 MISSION ST,,San Francisco,POINT (-122.401168 37.786928),22.2,,CA,94105,-64.2,,171.08,,21.2,,99,27.1,70.2,-65.8,-65.9,207.1,2.1,26,69.1,99,25,66.4,-67.3,-67.3,194,2,25.2,66.6,99,21.7,61.7,-66.5,-66.5,163.2,1.7,22.9,63
1144/001B,222 STANYAN ST,222 STANYAN ST,94118,133570,N/A,,http://propertymap.sfplanning.org/?&search=1144/001B,N/A,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,222 STANYAN ST,,San Francisco,POINT (-122.45505 37.776655),,,CA,94118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0164/014,381-391 Broadway,381-391 Broadway,94133,15000,N/A,,http://propertymap.sfplanning.org/?&search=0164/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Pending,381 391,,San Francisco,,,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3799/001,601 Townsend St.,700 7TH ST,94107,384203,Office,,http://propertymap.sfplanning.org/?&search=3799/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Exempt - LEED EBOM,700 7TH ST,100,San Francisco,POINT (-122.40123 37.771461),68.1,,CA,94107,-59.9,,1713.93,,69.2,,100,98.1,156.5,-64,,1794,,98.1,156.5,100,97.4,167.2,-59.9,-59.9,1838.6,6.2,97.4,167.2,99,97.8,164.9,-56.8,-56.8,1776.7,6,97.8,164.9
3733/A079,875 Howard Street,875 HOWARD ST,94103,247901,Office,,http://propertymap.sfplanning.org/?&search=3733/A079,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,875 HOWARD ST,,San Francisco,POINT (-122.404298 37.781996),60.3,,CA,94103,-10.1,,994.06,,60.3,,81,60.9,163.7,-32.4,,1056.45,,61,164.9,92,51.2,138.8,-47,-47,895.3,4.1,50.8,139.8,93,45,132.2,-50.1,-50.1,767.6,3.5,45.7,130.5
7080/009,3950 19TH AVE,3950 19TH AVE,94132,29338,N/A,,http://propertymap.sfplanning.org/?&search=7080/009,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,3950 19TH AVE,,San Francisco,POINT (-122.472021 37.716588),,,CA,94132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0344/005,166 Golden Gate Ave,166 GOLDEN GATE AVE,94102,54702,Office,,http://propertymap.sfplanning.org/?&search=0344/005,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,166 GOLDEN GATE AVE,,San Francisco,POINT (-122.413517 37.781905),14.3,,CA,94102,,-72,42.4,,14.1,,,13.8,41,-72.3,,41.5,,13.7,40.9,,15.6,46.8,-68.4,-68.4,44,1.2,15.4,46.6,,14.3,43.6,-70.5,-70.5,40.6,1.1,14.3,43.6
5596/013,390 BAY SHORE BLVD,390 BAY SHORE BLVD,94110,11730,N/A,,http://propertymap.sfplanning.org/?&search=5596/013,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,390 BAY SHORE BLVD,,San Francisco,POINT (-122.406638 37.741262),,,CA,94110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725/087,959 MISSION ST,959 MISSION ST,94103,72991,N/A,,http://propertymap.sfplanning.org/?&search=3725/087,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,959 MISSION ST,,San Francisco,POINT (-122.40789 37.781621),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3787/024,Swinerton Headquarters,260 TOWNSEND ST,94107,66943,N/A,,http://propertymap.sfplanning.org/?&search=3787/024,Complied,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Exempt - LEED EBOM,260 TOWNSEND ST,65,San Francisco,POINT (-122.394058 37.777834),80.2,,CA,94107,-15.2,,416.43,,69.3,,66,74.3,200.1,-15.9,,399.05,,74.3,200.1,,,,,,,,,,,,,,,,,,
3951/005,88 MISSOURI ST,88 MISSOURI ST,94107,10149,N/A,,http://propertymap.sfplanning.org/?&search=3951/005,N/A,Violation - Insufficient Data,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,88 MISSOURI ST,,San Francisco,POINT (-122.3968 37.765491),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735/050,633 HOWARD ST,633 HOWARD ST,94105,10400,N/A,,http://propertymap.sfplanning.org/?&search=3735/050,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Pending,633 HOWARD ST,,San Francisco,POINT (-122.399123 37.786082),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726/022,1058 HOWARD ST,1058 HOWARD ST,94103,15900,N/A,,http://propertymap.sfplanning.org/?&search=3726/022,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1058 HOWARD ST,,San Francisco,POINT (-122.408533 37.77865),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310/022,117 POST ST,117 POST ST,94108,24408,N/A,,http://propertymap.sfplanning.org/?&search=0310/022,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,117 POST ST,,San Francisco,POINT (-122.404366 37.7888),,,CA,94108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727/002,140 7TH ST,140 7TH ST,94103,37630,Hotel,,http://propertymap.sfplanning.org/?&search=3727/002,N/A,Violation - Did Not Report,Complied,Complied,Complied,4/1/14,Pending,140 7TH ST,,San Francisco,POINT (-122.410255 37.778646),,,CA,94103,,,,,,,4,88.9,147.1,78.1,78.1,205.1,5.5,87.7,148.1,6,80.2,137.4,67.3,67.3,187.5,5,75.9,131.7,2,79.1,146.5,103.2,103.2,190.6,5.1,87.3,155.1
5226/012,1680 EVANS AVE,1680 EVANS AVE,94124,24696,N/A,,http://propertymap.sfplanning.org/?&search=5226/012,N/A,N/A,Violation - Did Not Report,Exempt - Tenant Turnover,Exempt - Tenant Turnover,4/1/13,Complied,1680 EVANS AVE,,San Francisco,POINT (-122.389987 37.743854),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3592/015,500 Treat,3175 18TH ST,94110,29634,Office,,http://propertymap.sfplanning.org/?&search=3592/015,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,3175 18TH ST,,San Francisco,POINT (-122.414427 37.762128),,,CA,94110,,,,,,,81,57.9,143.3,-33.9,,151.35,,57.3,144.5,75,67,159,-26.5,-26.4,149.2,5,63.9,155.6,75,52.8,137.4,-25.8,-25.8,116.2,3.9,52.8,137.4
4346/002,Hearst City Plant,1901 CESAR CHAVEZ ST,94124,75035,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=4346/002,Violation - Did Not Report,Complied,Complied,Complied,Complied,4/1/16,Upcoming,1901 CESAR CHAVEZ ST,99,San Francisco,,18.6,,CA,94124,-67.7,,123.13,,18.5,,71,31.8,75.4,-20.8,,178.76,,31.8,75.4,84,19.6,58.9,-34.2,-34.3,125.9,1.7,19.6,58.9,95,15.3,45.9,-48.3,-48.3,91.4,1.2,15.3,45.9
0292/001,111 Sutter Street,111 SUTTER ST,94104,286357,Office,,http://propertymap.sfplanning.org/?&search=0292/001,Complied,Complied,Complied,Complied,Complied,11/15/12,Exempt - LEED EBOM,111 SUTTER ST,82,San Francisco,POINT (-122.402615 37.789997),66.8,,CA,94104,-34.5,,1442.8,,64.4,,85,67.4,163.8,-37.8,,1465.42,,65.5,161.7,88,59.9,138.9,-42.8,-42.8,1206.3,4.2,60.1,139.2,91,53.1,128.6,-46.7,-46.7,1091.9,3.8,56.5,132.1
3636/001,2600 Mission St.,2600 MISSION ST,94110,13600,Retail Store,,http://propertymap.sfplanning.org/?&search=3636/001,N/A,N/A,Complied,Complied,Complied,4/1/14,Complied,2600 MISSION ST,,San Francisco,POINT (-122.41873 37.755259),,,CA,94110,,,,,,,,,,,,,,,,,37.6,101,-11.7,-11.7,41.1,3,36.6,99.9,,33.5,94.3,-17.6,-17.6,35.1,2.6,35.8,96.8
3951/004,1079 16TH ST,1079 16TH ST,94107,22389,N/A,,http://propertymap.sfplanning.org/?&search=3951/004,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1079 16TH ST,,San Francisco,POINT (-122.397503 37.766391),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973/001,2401 17th Street,2401 17TH ST,94110,54000,Office,,http://propertymap.sfplanning.org/?&search=3973/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,2401 17TH ST,100,San Francisco,POINT (-122.407946 37.764465),0,,CA,94110,-100,,0.05,,0,,100,8.7,15.4,-83,,30.6,,8.2,14.8,99,12,27.5,-69.7,-69.6,47.8,0.9,11.1,26,100,11.7,26.3,-70.9,-70.9,43.9,0.8,14.4,29.7
0177/018,1054 GRANT AVE,1054 GRANT AVE,94133,12648,N/A,,http://propertymap.sfplanning.org/?&search=0177/018,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1054 GRANT AVE,,San Francisco,POINT (-122.40681 37.796753),,,CA,94133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511/074,1517 MISSION ST,1517 MISSION ST,94103,11500,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",,http://propertymap.sfplanning.org/?&search=3511/074,N/A,N/A,Violation - Did Not Report,Complied,Complied,4/1/13,Pending,1517 MISSION ST,,San Francisco,POINT (-122.417499 37.774018),,,CA,94103,,,,,,,,,,,,,,,,,30,88.1,-12.2,-12.2,27.2,2.4,30,88.1,,25.5,78.7,-21.6,-21.6,23.7,2.1,25.5,78.7
4347A/003,08039-Sf-evans,2090 Evan St.,94124,119900,Non-Refrigerated Warehouse,,http://propertymap.sfplanning.org/?&search=4347A/003,Complied,Complied,Complied,Complied,Complied,4/1/14,Did Not Comply,2090 Evan St,,San Francisco,,6.6,,CA,94124,-66.8,,65.37,,7.3,,,6.2,18.1,-73.2,,62.18,,6.1,18,,6.1,17.1,-71.5,-71.5,60.1,0.5,6.1,17.4,,5.6,16.2,-72.9,-72.9,52.6,0.4,5.8,16.5
3780/004D,808 BRANNAN ST,808 BRANNAN ST,94103,41910,N/A,,http://propertymap.sfplanning.org/?&search=3780/004D,N/A,Exempt - Change of Ownership,Exempt - Change of Ownership,Exempt - New Construction,Exempt - New Construction,4/1/19,Upcoming,808 BRANNAN ST,,San Francisco,POINT (-122.403547 37.772794),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0238/002,300 CALIFORNIA ST,300 CALIFORNIA ST,94104,144380,Office,,http://propertymap.sfplanning.org/?&search=0238/002,Violation - Did Not Report,Violation - Did Not Report,Complied,Complied,Complied,11/15/12,Did Not Comply,300 CALIFORNIA ST,,San Francisco,POINT (-122.399963 37.79322),,,CA,94104,,,,,,,80,84.5,182.1,-31.6,-31.6,706,5.8,82.8,181.5,80,78,180.7,-31.6,-31.6,672.7,5.5,78.1,180.7,79,77.1,180.9,-30.4,-30.4,668.9,5.5,79.6,183.5
3756/003,350 8TH ST,350 8TH ST,94103,22834,N/A,,http://propertymap.sfplanning.org/?&search=3756/003,N/A,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,350 8TH ST,,San Francisco,POINT (-122.409068 37.774175),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0280/031,1199 Bush,1199 BUSH ST,94109,59751,N/A,,http://propertymap.sfplanning.org/?&search=0280/031,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,11/15/12,Pending,1199 BUSH ST,,San Francisco,POINT (-122.416681 37.789161),,,CA,94109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3717/001,100 Spear Street,100 SPEAR ST,94105,265413,Office,,http://propertymap.sfplanning.org/?&search=3717/001,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,100 SPEAR ST,90,San Francisco,POINT (-122.393776 37.792305),55.4,,CA,94105,-45.2,,1085.37,,53.2,,90,54.9,127.3,-45.6,,1079.97,,54.3,126.7,94,45.4,106.1,-52.2,-52.2,851.2,3.2,45.3,105.7,92,53,122.4,-47.9,-47.9,988.1,3.7,53,122.4
4794/010,1095 SHAFTER AVE,1095 SHAFTER AVE,94124,11224,N/A,,http://propertymap.sfplanning.org/?&search=4794/010,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1095 SHAFTER AVE,,San Francisco,POINT (-122.381091 37.725572),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0288/001,155 Montgomery,149 MONTGOMERY ST,94104,55785,Office,,http://propertymap.sfplanning.org/?&search=0288/001,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,149 MONTGOMERY ST,83,San Francisco,POINT (-122.40235 37.790742),56.3,,CA,94104,-35.8,,255.15,,52,,84,57.8,135,-36.6,,271.43,,56.2,133.2,85,54.7,121.7,-38.6,-38.6,264.5,4.7,54.9,121.9,88,48.9,111.7,-42.2,-42.2,202.9,3.6,51.3,114.6
0237/010,244 California St.,244 CALIFORNIA ST,94111,33317,Office,,http://propertymap.sfplanning.org/?&search=0237/010,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,244 CALIFORNIA ST,,San Francisco,POINT (-122.399621 37.793262),,,CA,94111,,,,,,,74,119.5,165.2,-27.3,,233.3,,115.3,160.8,80,112.6,152.8,-34.1,-34.1,214.9,6.4,113.1,153.3,85,98.9,136.5,-39.8,-39.8,189.8,5.7,105.2,143
3721/049,149 2ND ST,149 2ND ST,94105,19962,N/A,,http://propertymap.sfplanning.org/?&search=3721/049,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,149 2ND ST,,San Francisco,POINT (-122.398939 37.787319),,,CA,94105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5236/018,1499 EVANS AVE,1499 EVANS AVE,94124,24341,N/A,,http://propertymap.sfplanning.org/?&search=5236/018,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1499 EVANS AVE,,San Francisco,POINT (-122.386136 37.741633),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230/028,One Embarcadero Center,1 EMBARCADERO CENTER,94111,1059539,Office,,http://propertymap.sfplanning.org/?&search=0230/028,Complied,Complied,Complied,Complied,Complied,4/1/14,Exempt - LEED EBOM,1 EMBARCADERO CENTER,78,San Francisco,POINT (-122.399233 37.794716),103.5,,CA,94111,-26.4,,6398.42,,103.5,,79,104.4,244.7,-27.3,,6483.68,,103.4,243.6,76,107.1,235.1,-26.7,-26.7,6114.5,7.4,107.3,235.3,77,101.3,227.8,-27.7,-27.7,5862.1,7,104.6,231.3
0309/024,251 Post Street,251 POST ST,94108,44573,Office,,http://propertymap.sfplanning.org/?&search=0309/024,N/A,Complied,Complied,Complied,Complied,4/1/13,Pending,251 POST ST,,San Francisco,POINT (-122.406786 37.788495),,,CA,94108,,,,,,,79,41.6,124.3,-30.5,,164.78,,41.2,123.9,99,17.3,51,-69.3,-69.3,61.7,1.4,17.3,51.1,99,18.6,53.4,-66.9,-66.9,65.9,1.5,18.6,53.4
3704/070,969 MARKET ST,969 MARKET ST,94103,17731,N/A,,http://propertymap.sfplanning.org/?&search=3704/070,N/A,N/A,Exempt,Exempt,Exempt - New Construction,4/1/16,Upcoming,969 MARKET ST,,San Francisco,POINT (-122.409588 37.782801),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0207/036,517 WASHINGTON ST,517 WASHINGTON ST,94111,21651,N/A,,http://propertymap.sfplanning.org/?&search=0207/036,N/A,N/A,Violation - Did Not Report,Exempt - Vacant,Violation - Did Not Report,4/1/14,Exempt - Vacant,517 WASHINGTON ST,,San Francisco,POINT (-122.402205 37.795657),,,CA,94111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
