Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,PIM Link (description),PIM Link,Benchmark 2010 Status,Benchmark 2011 Status,Benchmark 2012 Status,Benchmark 2013 Status,Benchmark 2014 Status,Energy Audit Due Date,Energy Audit Status,Full.Address (address),2011 ENERGY STAR Score,Full.Address (city),Full.Address,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),Full.Address (state),Full.Address (zip),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2)
1213/011A,2255 Hayes,2255 HAYES ST,94117,55250,Office,,http://propertymap.sfplanning.org/?&search=1213/011A,Complied,Complied,Violation - Insufficient Data,Complied,Complied,4/1/14,Complied,2255 HAYES ST,85,San Francisco,POINT (-122.453393 37.773018),93.2,,CA,94117,-37.8,,341.3,,93.2,,,,,,,,,,,100,10.6,33.4,-82.6,-82.6,47.9,0.9,10.6,33.4,100,9.3,29.2,-84.2,-84.2,42,0.8,9.3,29.2
0267/001,Silver Creek - 221 Pine St,99 BATTERY ST,94104,26808,Office,,http://propertymap.sfplanning.org/?&search=0267/001,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,99 BATTERY ST,,San Francisco,POINT (-122.399776 37.792266),,,CA,94104,,,,,,,,25.7,54.6,-63.1,,48.9,,25.1,54,98,21.2,54.7,-61.7,-61.7,42.1,1.6,21.4,54.9,92,27.3,71.8,-48.2,-48.2,54.6,2,29.8,74.4
0349/003,1 JONES ST,1 JONES ST,94102,38310,N/A,,http://propertymap.sfplanning.org/?&search=0349/003,N/A,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,Exempt - Vacant,4/1/18,Upcoming,1 JONES ST,,San Francisco,POINT (-122.412095 37.781399),,,CA,94102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900/045,Pier 45 - Shed D,"45 Pier, Shed D",94133,71833,Other,,http://propertymap.sfplanning.org/?&search=9900/045,N/A,Complied,Complied,Complied,Complied,4/1/99,Municipal,45 Pier,,San Francisco,POINT (-122.406489 37.806522),2.4,7.7,CA,94133,-93.9,-93.7,13.9,0.2,2.5,7.9,,2.4,7.4,-93.9,-94,14.9,0.2,2.3,7.2,,2.7,8.5,-93.1,-93.1,14.2,0.2,2.7,8.5,,2.4,7.5,-93.9,-93.9,12.5,0.2,2.4,7.5
0295/013,Williams Sonoma - 431 Sutter,431 SUTTER ST,94108,15453,Other,,http://propertymap.sfplanning.org/?&search=0295/013,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,431 SUTTER ST,,San Francisco,POINT (-122.407582 37.78935),,,CA,94108,,,,,,,,,,,,,,,,,16.3,41.1,-66.6,-66.6,19.6,1.3,16.4,41.2,,27.1,78.6,-31.3,-31.3,32.8,2.1,28.1,79.6
3703/065,1059 MARKET ST,1059 MARKET ST,94103,58100,N/A,,http://propertymap.sfplanning.org/?&search=3703/065,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1059 MARKET ST,,San Francisco,POINT (-122.411626 37.78119),,,CA,94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4025/003A,Marco Fine Furniture,650 POTRERO AVE,94110,24004,Other,,http://propertymap.sfplanning.org/?&search=4025/003A,N/A,N/A,Complied,Complied,Complied,4/1/14,Pending,650 POTRERO AVE,,San Francisco,POINT (-122.40712 37.761207),,,CA,94110,,,,,,,,,,,,,,,,,13.5,23.3,-81.1,-81.1,20.9,0.9,11.9,21.6,,13.1,22.8,-81.5,-81.5,19.6,0.8,13.1,22.8
4172/022,1209 TENNESSEE ST,1209 TENNESSEE ST,94107,65336,N/A,,http://propertymap.sfplanning.org/?&search=4172/022,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/21,Upcoming,1209 TENNESSEE ST,,San Francisco,POINT (-122.389081 37.755963),,,CA,94107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514/030,Speyer & Schwartz,1663 MISSION ST,94103,90569,N/A,,http://propertymap.sfplanning.org/?&search=3514/030,Complied,Complied,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/13,Did Not Comply,1663 MISSION ST,100,San Francisco,POINT (-122.419562 37.771249),39,,CA,94103,-73.4,,243.78,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0206/014,425 Washington,425 WASHINGTON ST,94111,12000,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=0206/014,N/A,N/A,Complied,Complied,Complied,4/1/13,Complied,425 WASHINGTON ST,,San Francisco,POINT (-122.400975 37.795813),,,CA,94111,,,,,,,,,,,,,,,,,53.1,155.9,26.7,26.6,53.9,4.5,53.1,155.8,,53.9,162.2,31.8,31.8,51.6,4.3,53.4,158
0574/014,2100 VAN NESS AVE,2100 VAN NESS AVE,94109,12369,N/A,,http://propertymap.sfplanning.org/?&search=0574/014,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,2100 VAN NESS AVE,,San Francisco,POINT (-122.423195 37.795017),,,CA,94109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083/002,Twentieth Street,3130 20TH ST,94110,56055,Office,,http://propertymap.sfplanning.org/?&search=4083/002,Complied,Complied,Complied,Complied,Complied,11/15/12,Complied,3130 20TH ST,93,San Francisco,POINT (-122.412025 37.759057),32,,CA,94110,-51.7,,149.02,,30.9,,94,29.1,82.6,-53.8,,138.9,,29.3,82.8,,27.3,71.2,-42.2,-42.2,121,2.2,26,69.8,89,28,74.9,-43.9,-43.9,118.1,2.1,28,74.9
0317/007,"Fifth Church of Christ, Scientist",450 OFARRELL ST,94102,26904,Worship Facility,,http://propertymap.sfplanning.org/?&search=0317/007,N/A,Complied,Complied,Complied,Complied,4/1/13,Complied,450 OFARRELL ST,,San Francisco,POINT (-122.412341 37.785883),,,CA,94102,,,,,,,3,25.1,46,119.3,,44.62,,23.1,44,24,19.9,27.4,34.5,35,31.3,1.2,17.7,25.1,24,14.1,18.2,35.8,35.8,21.4,0.8,19.1,23.4
3573/006,S.H. Frank Building,3075 17TH ST,94110,43974,Mixed Use Property,,http://propertymap.sfplanning.org/?&search=3573/006,N/A,Complied,Complied,Complied,Complied,4/1/14,Complied,3075 17TH ST,,San Francisco,POINT (-122.414667 37.763726),,,CA,94110,,,,,,,,14.5,40.2,-67.4,-67.3,48.9,1.1,14.1,39.7,,14.4,37.3,-69.7,-69.7,47,1.1,13.3,36.1,,15.2,42.5,-65.5,-65.5,51.4,1.2,15.2,42.5
0050/021,Columbus Motor Inn,1065 COLUMBUS AVE,94133,16200,Hotel,,http://propertymap.sfplanning.org/?&search=0050/021,Complied,Complied,Complied,Complied,Complied,4/1/13,Complied,1065 COLUMBUS AVE,,San Francisco,POINT (-122.415791 37.804116),,,CA,94133,,,,,,,,,,,,,,,,18,105.3,203.6,35.7,35.6,115.6,7.1,105.4,203.9,19,97.9,193.3,34.3,34.3,104.2,6.4,99,196.7
4909/032,1260 EGBERT AVE,1260 EGBERT AVE,94124,10000,N/A,,http://propertymap.sfplanning.org/?&search=4909/032,N/A,N/A,Violation - Did Not Report,Violation - Did Not Report,Violation - Did Not Report,4/1/14,Did Not Comply,1260 EGBERT AVE,,San Francisco,POINT (-122.390228 37.721298),,,CA,94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
